"# base_pid=base_pid_hybrid.json [drive p=0.35 ff=0.23, steer p=2 out=+/-1, scale=1.068]",sample_hz=50.0
t,motors_enabled,v_target_0,v_target_1,v_target_2,v_prof_0,v_prof_1,v_prof_2,steer_cmd_FL,steer_cmd_FR,steer_cmd_RR,steer_cmd_RL,steer_meas_FL,steer_meas_FR,steer_meas_RR,steer_meas_RL,drive_cmd_FL,drive_cmd_FR,drive_cmd_RR,drive_cmd_RL,drive_meas_FL,drive_meas_FR,drive_meas_RR,drive_meas_RL,drive_pos_FL,drive_pos_FR,drive_pos_RR,drive_pos_RL
0.0003,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.504374,-2.647978,-2.643928,-2.644997,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-163.347656,885.887573,747.486328,-90.414200
0.0203,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.504395,-2.647978,-2.644051,-2.645320,0.504395,-2.647978,-2.644051,-2.645320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-163.347656,885.887573,747.486328,-90.414200
0.0405,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.504417,-2.648037,-2.643928,-2.644997,0.504417,-2.648037,-2.643928,-2.644997,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-163.347656,885.887573,747.486328,-90.414200
0.0603,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.504374,-2.648037,-2.644051,-2.645320,0.504374,-2.648037,-2.644051,-2.645320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-163.347656,885.887573,747.486328,-90.414200
0.0803,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.504395,-2.647978,-2.643532,-2.645320,0.504395,-2.647978,-2.643532,-2.645320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-163.347656,885.887573,747.486328,-90.414200
0.1004,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.504395,-2.648568,-2.644051,-2.644832,0.504395,-2.648568,-2.644051,-2.644832,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-163.347656,885.887573,747.486328,-90.414200
0.1203,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.504395,-2.648095,-2.643532,-2.644832,0.504395,-2.648037,-2.643532,-2.644832,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-163.347656,885.887573,747.486328,-90.414200
0.1403,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.504395,-2.648095,-2.643409,-2.645320,0.504395,-2.648095,-2.643409,-2.645320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-163.347656,885.887573,747.486328,-90.414200
0.1603,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.504395,-2.647978,-2.644051,-2.644832,0.504395,-2.647978,-2.644051,-2.644832,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-163.347656,885.887573,747.486328,-90.414200
0.1803,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.504374,-2.647978,-2.644051,-2.644832,0.504395,-2.647978,-2.644051,-2.644832,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-163.347656,885.887573,747.486328,-90.414200
0.2003,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.504353,-2.647978,-2.644051,-2.645485,0.504353,-2.647978,-2.644051,-2.645485,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-163.347656,885.887573,747.486328,-90.414200
0.2203,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.504417,-2.647978,-2.644051,-2.644832,0.504417,-2.647978,-2.644051,-2.644832,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-163.347656,885.887573,747.486328,-90.414200
0.2404,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.504395,-2.647978,-2.644051,-2.644832,0.504395,-2.647978,-2.644051,-2.644832,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-163.347656,885.887573,747.486328,-90.414200
0.2603,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.504395,-2.647978,-2.643656,-2.644832,0.504395,-2.647978,-2.643656,-2.645485,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-163.347656,885.887573,747.486328,-90.414200
0.2803,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.504374,-2.647978,-2.643532,-2.645485,0.504374,-2.647978,-2.643532,-2.644832,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-163.347656,885.887573,747.486328,-90.414200
0.3003,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.504395,-2.648626,-2.643532,-2.644997,0.504353,-2.648626,-2.643532,-2.644997,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-163.347656,885.887573,747.486328,-90.414200
0.3203,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.504374,-2.648037,-2.643409,-2.644832,0.504374,-2.648037,-2.643409,-2.644832,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-163.347656,885.887573,747.486328,-90.414200
0.3403,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.504374,-2.647978,-2.644051,-2.645320,0.504374,-2.648037,-2.643532,-2.644832,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-163.347656,885.887573,747.486328,-90.414200
0.3603,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.504395,-2.648037,-2.643532,-2.644832,0.504374,-2.648626,-2.643532,-2.644832,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-163.347656,885.887573,747.486328,-90.414200
0.3804,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.504353,-2.648037,-2.643928,-2.645485,0.504353,-2.648037,-2.643928,-2.645485,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-163.347656,885.887573,747.486328,-90.414200
0.4004,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.504395,-2.648037,-2.643532,-2.644832,0.504395,-2.648626,-2.643532,-2.644667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-163.347656,885.887573,747.486328,-90.414200
